A01a,O=C1N[C@@H](CO1)C1=CC=CC=C1
A01b,CN1CCCCS1(=O)=O
A02a,CC1=CC=C(S1)C1=CC(=NN1)C(O)=O
A02b,CC1=CC(C)=NC=N1
A03a,CN1N=C(C=C1C(N)=O)C(F)(F)F
A04a,NC1=NC(=CN=C1)N1CCCC1
A05a,CC1=NNC(=C1)C(F)(F)F
A06a,N1C2=C(C=CC=C2)N=C1C1=CC=CN=C1
A07a,NC1=CC=NN1CC1=CC=NC=C1
A08a,CNS(=O)(=O)C1=C(C)ON=C1C
A09a,CC1=CC=C(C=C1)S(=O)(=O)N1CCC[C@H]1C(O)=O
A10a,CC1=NC2=CC=CC=C2N1CCO
A11a,C1=CN(N=C1)C1=CC=CC=N1
A12a,CC1=C(C=CC(N)=C1)C(N)=O
B01a,COC1=CC=C2NC(C)=NC2=C1
B01b,COC(=O)C1CN(C)C(=O)C1
B02a,CC1=CN2C=C(N)C=CC2=N1
B02b,CC(=O)N1CCCCC1CO
B03a,OC1=CC=CC(=N1)C(F)(F)F
B04a,CN(CC1=CC=CC=C1)C(N)=O
B05a,CCS(=O)(=O)N1CCCC(C1)C(O)=O
B06a,O=C1NC2=CC=CC=C2C=C1
B07a,NC1=NC(=CO1)C1=CC=CC=C1
B08a,OC1=CC=C(Cl)N=C1
B09a,NCC1=CC2=C(CCC2)S1
B10a,COC(=O)C1=C2C=CC=CN2C=N1
B11a,CCC1=NOC(C1)C(O)=O
B12a,O=C1NC(=CS1)C1=CC=CN=C1
C01a,NC1CCN(C1=O)C1=CC=CC=C1
C01b,CN(C(C)=O)C1=CC=CC=N1
C02a,NC1=CC=CC2=NC=CC=C12
C02b,CNCC1=NC=CS1
C03a,OC(=O)C1=CC2=C(NC(=O)C2)C=C1
C04a,NC(=O)C1CCC2=CC=CC=C2N1
C05a,O=C1CNCCN1C1=CC=CC=C1
C06a,COC(=O)C1=NNC2=C1CCCC2
C07a,COC1=CC=C(C=N1)C#N
C08a,NC1=CC=C2C=CC=CC2=N1
C09a,CC1=CC=CN2C(N)=CN=C12
C10a,N#CC1=CC=CN=C1N1CCOCC1
C11a,N1C=CC2=CC=CN=C12
C12a,NC1=CC2=C(CCOC2)N=C1
D01a,FC(F)(F)C1=CC(=O)NC=C1
D01b,CC(O)C1=NC(C)=CS1
D02a,CS(=O)(=O)N1C=CC=C1
D02b,O1N=CC=C1C1=CC=CC=C1
D03a,ClC1=CC=C2NC(=O)OC2=C1
D04a,NC1=NC(=CO1)C(F)(F)F
D05a,COC1=CC(N)=CC(F)=C1
D06a,N#CC1=C2C=CNC2=NC=C1
D07a,COC1=CC=NC(=C1)C(N)=O
D08a,OC1CN(C1)C(=O)C1=CC=CC=C1
D09a,CS(=O)(=O)N1CCOCC1
D10a,C1CCC2=NN=CN2C1
D11a,OCC1=CN=C(N1)C1=CC=CC=C1
D12a,NC(=O)C1=CNC2=CC=CC=C12
E01a,NC(=O)C1=CC=NC(Cl)=C1
E01b,OCC1CCCCO1
E02a,C1=NN2C=CC=CC2=N1
E02b,NCC1=CC=CN=C1N1CCCC1
E03a,CC(=O)NC1CCNCC1
E04a,O=C1NCCN2CCCC12
E05a,COC(=O)C1=C(C)NN=C1C
E06a,CNC1=NC=CC=C1OC
E07a,COC(=O)C1=CC=NN=C1
E08a,NC1=CC(=NO1)C1CC1
